batting_team,batsman,Total_Runs,No_Of_Innings,Batting_Average
Chennai Super Kings,A Flintoff,62.0,2,31.0
Chennai Super Kings,BB McCullum,841.0,24,35.041666666666664
Chennai Super Kings,CH Morris,14.0,1,14.0
Chennai Super Kings,CK Kapugedera,16.0,3,5.333333333333333
Chennai Super Kings,DE Bollinger,21.0,1,21.0
Chennai Super Kings,DJ Bravo,706.0,24,29.416666666666668
Chennai Super Kings,DJ Hussey,116.0,2,58.0
Chennai Super Kings,DR Smith,965.0,28,34.464285714285715
Chennai Super Kings,F du Plessis,1081.0,26,41.57692307692308
Chennai Super Kings,GJ Bailey,63.0,1,63.0
Chennai Super Kings,JA Morkel,828.0,32,25.875
Chennai Super Kings,JDP Oram,106.0,7,15.142857142857142
Chennai Super Kings,JM Kemp,26.0,2,13.0
Chennai Super Kings,Joginder Sharma,36.0,2,18.0
Chennai Super Kings,L Balaji,22.0,4,5.5
Chennai Super Kings,M Manhas,35.0,2,17.5
Chennai Super Kings,M Muralitharan,9.0,4,2.25
Chennai Super Kings,M Ntini,11.0,1,11.0
Chennai Super Kings,M Vijay,1600.0,54,29.62962962962963
Chennai Super Kings,MEK Hussey,1768.0,38,46.526315789473685
Chennai Super Kings,ML Hayden,1107.0,27,41.0
Chennai Super Kings,MM Sharma,29.0,2,14.5
Chennai Super Kings,MS Dhoni,2986.0,70,42.65714285714286
Chennai Super Kings,MS Gony,50.0,4,12.5
Chennai Super Kings,P Negi,116.0,6,19.333333333333332
Chennai Super Kings,PA Patel,516.0,20,25.8
Chennai Super Kings,R Ashwin,190.0,16,11.875
Chennai Super Kings,RA Jadeja,670.0,31,21.612903225806452
Chennai Super Kings,S Anirudha,133.0,6,22.166666666666668
Chennai Super Kings,S Badrinath,1441.0,43,33.51162790697674
Chennai Super Kings,S Randiv,2.0,1,2.0
Chennai Super Kings,S Vidyut,145.0,8,18.125
Chennai Super Kings,SB Jakati,27.0,2,13.5
Chennai Super Kings,SK Raina,3707.0,96,38.614583333333336
Chennai Super Kings,SP Fleming,196.0,9,21.77777777777778
Chennai Super Kings,T Thushara,12.0,2,6.0
Chennai Super Kings,WP Saha,144.0,5,28.8
Deccan Chargers,A Ashish Reddy,35.0,4,8.75
Deccan Chargers,A Mishra,84.0,4,21.0
Deccan Chargers,A Symonds,839.0,21,39.95238095238095
Deccan Chargers,AA Bilakhia,69.0,5,13.8
Deccan Chargers,AA Jhunjhunwala,24.0,2,12.0
