match_id,batting_team,bowling_team,batsman,Balls_Played,Total_Runs
101,Rajasthan Royals,Mumbai Indians,NV Ojha,4,1
144,Rajasthan Royals,Delhi Daredevils,AA Jhunjhunwala,6,2
145,Deccan Chargers,Kolkata Knight Riders,A Symonds,39,45
151,Deccan Chargers,Rajasthan Royals,Anirudh Singh,12,9
158,Kolkata Knight Riders,Royal Challengers Bangalore,AB Dinda,1,0
165,Delhi Daredevils,Chennai Super Kings,TM Dilshan,2,1
175,Chennai Super Kings,Mumbai Indians,SK Raina,37,57
185,Pune Warriors,Kochi Tuskers Kerala,WD Parnell,6,1
194,Delhi Daredevils,Deccan Chargers,Y Venugopal Rao,24,21
220,Delhi Daredevils,Deccan Chargers,IK Pathan,16,12
226,Rajasthan Royals,Chennai Super Kings,DH Yagnik,7,3
241,Kings XI Punjab,Deccan Chargers,SE Marsh,8,13
264,Deccan Chargers,Delhi Daredevils,JP Duminy,5,4
296,Mumbai Indians,Chennai Super Kings,RG Sharma,48,60
302,Chennai Super Kings,Rajasthan Royals,MS Dhoni,17,10
302,Rajasthan Royals,Chennai Super Kings,STR Binny,20,27
327,Chennai Super Kings,Mumbai Indians,B Laughlin,1,0
329,Royal Challengers Bangalore,Sunrisers Hyderabad,M Kartik,2,2
33,Kolkata Knight Riders,Deccan Chargers,LR Shukla,3,14
35,Royal Challengers Bangalore,Kings XI Punjab,A Kumble,1,0
355,Sunrisers Hyderabad,Chennai Super Kings,S Dhawan,48,63
357,Sunrisers Hyderabad,Rajasthan Royals,NLTC Perera,4,4
360,Delhi Daredevils,Pune Warriors,V Sehwag,30,28
367,Royal Challengers Bangalore,Pune Warriors,MC Henriques,13,27
37,Chennai Super Kings,Mumbai Indians,CK Kapugedera,2,0
376,Sunrisers Hyderabad,Chennai Super Kings,KV Sharma,34,39
394,Sunrisers Hyderabad,Kolkata Knight Riders,CL White,4,2
40,Kolkata Knight Riders,Mumbai Indians,I Sharma,5,4
438,Kolkata Knight Riders,Mumbai Indians,RV Uthappa,53,80
477,Rajasthan Royals,Kings XI Punjab,SV Samson,2,5
48,Chennai Super Kings,Royal Challengers Bangalore,L Balaji,5,0
503,Mumbai Indians,Royal Challengers Bangalore,PA Patel,12,19
508,Mumbai Indians,Kolkata Knight Riders,RG Sharma,22,30
543,Kolkata Knight Riders,Delhi Daredevils,PP Chawla,5,8
554,Mumbai Indians,Sunrisers Hyderabad,AT Rayudu,6,6
58,Rajasthan Royals,Chennai Super Kings,SA Asnodkar,20,28
77,Deccan Chargers,Delhi Daredevils,Y Venugopal Rao,15,16
8,Chennai Super Kings,Mumbai Indians,MEK Hussey,9,5
8,Mumbai Indians,Chennai Super Kings,DJ Bravo,17,24
86,Kings XI Punjab,Rajasthan Royals,IK Pathan,18,19
